X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
400260.869999997,142662.84,01003948,2026/02/01 15:11:45+00,2026/02/01 14:15:00+00,2026/02/01 14:35:00+00,610 - 719 BLOCK OF GALLATIN STREET NE,MOTOR VEHICLE THEFT,OTHERS,DAY,5,5A,4,405,Cluster 20,009509 3,009509,Precinct 66,,400260.87,142662.84,38.9518656841,-76.9969904522,923608907,
393742.189999998,142691.030000001,26038950,2026/03/25 18:33:49+00,2026/03/24 19:17:00+00,2026/03/25 19:18:00+00,3700 - 3749 BLOCK OF DAVENPORT STREET NW,ROBBERY,OTHERS,DAY,3,3E,2,202,Cluster 11,001200 1,001200,Precinct 33,,393742.19,142691.03,38.9520973755,-77.0721939732,923904459,
399874.450000003,128589.620000001,26039066,2026/03/25 21:33:33+00,2026/03/22 16:51:00+00,2026/03/23 01:30:00+00,4400 - 4599 BLOCK OF 3RD STREET SE,THEFT/OTHER,OTHERS,EVENING,8,8E,7,708,Cluster 39,009811 1,009811,Precinct 125,,399874.45,128589.62,38.8250888702,-77.0014458463,923904460,
402438.664499998,131109.0854,26040712,2026/03/29 01:39:03+00,2026/03/28 23:45:00+00,2026/03/29 00:15:00+00,2200 - 2299 BLOCK OF SAVANNAH STREET SE,THEFT/OTHER,OTHERS,EVENING,8,8E,7,704,Cluster 38,007403 2,007403,Precinct 116,,402438.664480216,131109.0853991,38.8477819906,-76.9719071694,923904461,
406058.380000003,137707.52,26043112,2026/04/02 16:51:03+00,2026/03/09 15:29:00+00,2026/04/02 15:30:00+00,4920 - 4999 BLOCK OF NASH STREET NE,THEFT/OTHER,OTHERS,DAY,7,7C,6,602,Cluster 31,007806 1,007806,Precinct 93,,406058.38,137707.52,38.9072057879,-76.9301507645,923904462,
403259.9463,131832.6677,26043515,2026/04/03 15:35:32+00,2026/04/03 12:17:00+00,2026/04/03 15:32:00+00,2800 - 2899 BLOCK OF 31ST STREET SE,MOTOR VEHICLE THEFT,OTHERS,DAY,7,7B,6,606,Cluster 35,007603 4,007603,Precinct 113,,403259.946336978,131832.667671771,38.8542976731,-76.9624427708,923904463,
397265.630000003,144484.640000001,26044494,2026/04/05 05:47:52+00,2026/04/05 03:28:00+00,2026/04/05 05:30:00+00,1300 - 1399 BLOCK OF TEWKESBURY PLACE NW,ROBBERY,GUN,MIDNIGHT,4,4A,4,402,Cluster 17,001804 1,001804,Precinct 61,,397265.63,144484.64,38.9682727078,-77.0315525437,923904464,
406145.263300002,137024.175500002,26045825,2026/04/07 23:06:49+00,2026/04/06 13:00:00+00,2026/04/06 19:41:00+00,5000 - 5099 BLOCK OF HUNT STREET NE,THEFT F/AUTO,OTHERS,EVENING,7,7C,6,608,Cluster 31,007809 1,007809,Precinct 94,,406145.263267656,137024.175548589,38.9010493794,-76.9291551707,923904465,
399489.600000001,137576.25,26045877,2026/04/08 00:33:42+00,2026/04/07 23:43:00+00,2026/04/08 00:23:00+00,1200 - 1229 BLOCK OF 1ST STREET NE,THEFT/OTHER,OTHERS,EVENING,6,6E,5,501,Cluster 25,010601 1,010601,Precinct 144,NOMA,399489.6,137576.25,38.9060439932,-77.0058844882,923904466,
406258.843599997,134926.452300001,26046074,2026/04/08 13:47:49+00,2026/04/08 13:20:00+00,2026/04/08 13:50:00+00,5100 - 5299 BLOCK OF E STREET SE,THEFT F/AUTO,OTHERS,DAY,7,7E,6,604,Cluster 33,009905 3,009905,Precinct 104,,406258.843587761,134926.452346642,38.8821515132,-76.9278648854,923904467,
399778.82,137532.050000001,26046430,2026/04/09 01:51:18+00,2026/04/09 00:15:00+00,2026/04/09 00:20:00+00,201 - 299 BLOCK OF M STREET NE,THEFT/OTHER,OTHERS,EVENING,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 144,NOMA,399778.82,137532.05,38.9056459446,-77.0025500075,923904468,
400383.520000003,140498.27,26420029,2026/01/03 00:33:19+00,2025/12/30 23:00:00+00,2026/01/03 00:10:00+00,700 - 799 BLOCK OF MONROE STREET NE,THEFT/OTHER,OTHERS,EVENING,5,5F,5,502,Cluster 21,009201 1,009201,Precinct 74,,400383.52,140498.27,38.9323665691,-76.9955767005,923904469,
397532.140000001,139035.09,26420196,2026/01/14 12:46:44+00,2026/01/13 16:30:00+00,2026/01/13 16:30:00+00,1200 - 1217 BLOCK OF W STREET NW,THEFT/OTHER,OTHERS,DAY,1,1B,3,305,Cluster 3,004401 1,004401,Precinct 22,,397532.14,139035.09,38.9191823999,-77.0284576189,923904470,
400172.270000003,143243.32,26420222,2026/01/15 00:02:26+00,2026/01/14 17:38:00+00,2026/01/14 19:30:00+00,600 - 698 BLOCK OF KENNEDY STREET NE,THEFT/OTHER,OTHERS,EVENING,5,5A,4,406,Cluster 19,009508 1,009508,Precinct 66,,400172.27,143243.32,38.9570948244,-76.9980124474,923904471,
396046.200000003,138387.649999999,26420273,2026/01/20 15:02:07+00,2026/01/17 23:00:00+00,2026/01/17 23:00:00+00,1700 - 1799 BLOCK OF CONNECTICUT AVENUE NW,THEFT/OTHER,OTHERS,DAY,2,2B,2,208,Cluster 6,005502 1,005502,Precinct 14,DUPONT CIRCLE,396046.2,138387.65,38.9133446172,-77.0455886991,923904472,
397564.399999999,139119.440000001,26421083,2026/03/19 01:45:59+00,2026/03/04 00:55:00+00,2026/03/04 00:55:00+00,2200 - 2299 BLOCK OF 12TH STREET NW,THEFT/OTHER,OTHERS,EVENING,1,1B,3,305,Cluster 3,004401 1,004401,Precinct 22,,397564.4,139119.44,38.9199423422,-77.0280859186,923904473,
399489.600000001,137576.25,26007197,2026/01/16 14:32:48+00,2026/01/16 13:59:00+00,2026/01/16 14:10:00+00,1200 - 1229 BLOCK OF 1ST STREET NE,THEFT/OTHER,OTHERS,DAY,6,6E,5,501,Cluster 25,010601 1,010601,Precinct 144,NOMA,399489.6,137576.25,38.9060439932,-77.0058844882,923904490,
401092.189999998,136018.579999998,26007812,2026/01/18 10:26:16+00,2026/01/17 17:57:00+00,2026/01/17 18:41:00+00,1300 - 1357 BLOCK OF CONSTITUTION AVENUE NE,THEFT F/AUTO,OTHERS,MIDNIGHT,6,6A,1,108,Cluster 26,008002 2,008002,Precinct 86,,401092.19,136018.58,38.8920114109,-76.9874104329,923904491,
